index,name,latitude,longitude
0,Home,41.481902,-81.798542
1,Lakewood Park,41.4948088,-81.7971556
2,Rocky River Reservation,41.4095142,-81.8859501
3,Edgewater Beach,41.4885355,-81.7448298
4,Kline Ditch,41.4383144,-82.0544084
5,Downtown Cleveland,41.5100992,-81.7039543
6,Mentor Lagoons,41.7261951,-81.3409491
